69,86
92,74
60,62
74,98
88,88
92,68
78,96
80,88
73,86
94,82
76,96
74,82
96,100
80,96
56,98
61,96
92,94
72,68
84,96
70,82
91,100
88,84
40,90
76,78
96,80
96,28
84,72
88,96
54,92
84,96
67,90
96,0
72,94
72,74
74,80
88,98
68,86
86,88
86,96
40,72
64,0
57,96
80,98
88,96
92,80
88,72
66,92
92,70
88,86
80,100
20,90
92,90
40,68
54,96
84,86
60,82
100,86
76,38
59,96
88,96
82,96
48,84
40,88
88,98
94,100
76,96
76,88
74,82
77,86
88,74
94,54
96,90
76,72
80,94
100,94
34,98
76,86
89,96
64,96
70,86
86,92
63,90
72,94
84,68
80,98
82,98
92,100
73,100
88,88
99,100
100,100
