96,92
88,94
64,92
78,60
84,100
76,100
76,86
80,96
40,92
86,92
76,75
98,87
90,92
58,94
56,96
80,96
96,88
80,87
96,92
48,88
94,94
96,100
82,100
100,78
96,96
88,78
96,78
83,90
80,84
96,82
84,96
92,92
72,100
76,92
86,75
98,96
68,100
98,92
64,64
100,96
88,100
86,96
74,96
78,82
82,85
80,88
100,92
96,80
76,96
84,100
80,92
96,72
92,82
92,96
90,100
68,96
62,96
78,92
48,73
84,60
94,76
92,84
80,72
84,92
74,80
78,84
62,90
100,100
96,77
92,84
88,90
60,60
72,88
64,86
94,96
86,92
100,90
70,96
88,88
76,78
48,78
76,82
80,66
92,60
90,74
100,96
76,80
58,88
72,96
92,86
