92,94
70,80
70,98
78,86
96,84
66,96
62,86
68,100
88,100
62,100
88,96
64,94
62,92
100,78
70,94
78,92
74,92
60,86
84,96
62,100
84,78
100,58
82,96
92,86
96,100
84,78
88,66
84,100
80,74
90,84
98,82
88,100
80,84
98,66
100,92
80,92
82,45
92,48
96,100
100,86
80,96
96,80
76,100
80,92
76,94
52,68
94,100
96,90
82,92
82,96
84,96
88,72
96,80
64,96
84,98
84,38
70,72
62,98
58,92
70,70
44,80
74,100
82,94
98,100
80,100
80,90
76,96
88,78
60,94
86,76
86,100
74,80
80,92
80,99
92,68
84,92
98,84
80,96
88,70
40,90
88,100
84,90
0,96
82,92
100,91
88,100
92,66
74,80
98,92
86,92
